ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Skimmed milk, water, milk proteins, concentrated skimmed milk, dietary fibers (inulin), decaffeinated coffee extract, low-fat cocoa, lemon juice from concentrate, flavor, sweeteners (aspartame, acesulfame-K)","['Skimmed milk', 'Water', 'Milk proteins']","[]","No specific health concerns found for these ingredients.",Low,Moderate,"Approved"
"Soft wheat flour, olive oil, sunflower oil, sea salt, yeast, rosemary","['Soft wheat flour', 'Olive oil']","[]","Overall, these are safe to consume as they do not contain any harmful substances.",Low,Low,"Approved"
"Wheat flour, sugar, vegetable oil (high oleic sunflower), whey powder, oligofructose, minerals (elemental iron and calcium carbonate), leavening agents (ammonium bicarbonate, sodium bicarbonate), color (natural caramel), salt, emulsifier (soy lecithin), flavors, antioxidant (sodium metabisulfite), vitamins (vitamin A, thiamine, riboflavin, niacin, vitamin B6, vitamin D)","['Wheat flour', 'Sugar', 'Vegetable oil (high oleic sunflower)', 'Whey powder', 'Oligofructose']","[]","Overall, the ingredients in this product appear to be safe for consumption. However, it is important to note that some individuals may have allergies or sensitivities to certain components such as soy (from soy lecithin) and trace amounts of mustard.",Low,Moderate,"Approved"
"Cod roe and related species (cod, flounder, and Japanese flounder), water, sunflower oil, tomato puree, salt, stabilizers (E-407, E-410), spices","['Cod roe', 'Related species (cod, flounder, and Japanese flounder)']","[]","Overall, this product appears to be safe for consumption. The main ingredient is fish eggs and their related species, which are generally considered a good source of protein and nutrients. However, it's important to note that some people may have allergies or intolerances to certain types of seafood.",Low,Moderate,"Approved"
"Sweet potato, rapeseed oil, apple cider vinegar, water, free-range eggs, mustard, salt","['Sweet potato', 'Rapeseed oil']","[]","Overall, the ingredients seem safe to consume. However, it is important to note that this analysis only considers potential health risks and does not take into account other factors such as allergies or intolerances.",Low,Low,"Approved"
"Chicken white sausage, chicken meat, drinking water, chicken fat with skin, iodized table salt, onions, leek, parsley, dextrose, spices, spice extracts, stabilizer (diphosphates), pork intestine","['Chicken white sausage', 'Chicken meat']","[]","Overall, the ingredients seem to be safe for consumption. However, it is important to note that there may contain traces of mustard and celery.",Low,Moderate,"Approved"
"Almonds, sunflower oil, salt","['Almonds', 'Salt']","[]","The ingredients appear to be safe for consumption. Almonds are a good source of healthy fats and fiber, while sunflower oil contains vitamin E, which can help protect cells from damage caused by free radicals. Salt (table salt) in moderation helps regulate blood pressure levels.",Low,Low,"Approved"
"Concentrated lemon juice, bergamot, orange peel","['Concentrated lemon juice', 'Bergamot', 'Orange peel']","[]","The ingredients appear to be safe for consumption. However, it's important to note that this analysis is based solely on the information provided and does not take into account other factors such as allergies or individual dietary restrictions.",Low,Low,"Approved"
"Nems (pork meat, rehydrated pea vermicelli, onions, carrots, soy proteins, mung bean sprouts, pork fat, rehydrated black mushrooms, dehydrated onions, natural flavor, salt, white pepper), rice wrapper (water, rice flour, sunflower oil, salt), nuoc-mâm sauce (water, sugar, nuoc-mâm sauce (fish, salt, water), alcohol vinegar, salt)","['Nems', 'Rice wrapper', 'Water']","[]","Overall, the ingredients seem safe to consume. However, individuals with allergies or intolerances should be cautious of potential triggers such as soy and gluten.",Low,Moderate,"Approved"
"Cream, vegetable oils","['Cream', 'Vegetable oils']","[]","The ingredients appear to be safe for consumption. Cream is a type of dairy product, and vegetable oils are commonly used in cooking.",Low,Low,"Approved"
"Blackberries, sugars, pectin, sodium benzoate, citric acid","['Blackberries', 'Pectin']","[]","Overall, the product appears to be safe for consumption as it contains natural and commonly used food additives. However, consumers should exercise caution when consuming products with added sugars due to their potential link to obesity and other health problems.",Low,Moderate,"Approved"
"Sugar, vegetable fat, cocoa powder, emulsifiers (soy lecithin, 476), stabilizer (492), natural flavor, wholegrain brown rice, milk","['Cocoa powder', 'Emulsifier (soy lecithin)', 'Stabilizer']","[]","Overall, the ingredients seem to be safe for consumption. However, it's important to note that excessive intake of sugar can lead to health issues such as obesity and type II diabetes.",Low,Moderate,"Approved"
"Organic einkorn flour, organic einkorn sourdough starter (organic einkorn flour, water), organic palm fruit oil, sea salt, organic rosemary.","['Organic einkorn flour', 'Sea salt']",[],"Overall, the product appears to be safe for consumption. However, palm fruit oil is high in saturated fats and should only make up a small part of your diet.",Low,Low,"Approved"
"Carbonated natural mineral water, sugar, citric acid E330, natural pear flavor, sodium benzoate E211, ascorbic acid E300, colorant E160e, safflower liquid.",[],"['Carbonated natural mineral water', 'Sodium benzoate E211']","The product contains potentially harmful ingredients such as sodium benzoate, which can be harmful in large amounts. Carbonated water is generally safe but may cause bloating in some individuals.",Moderate,Low,"Approved"
"Cultured pasteurized milk, salt, enzymes, annatto color.","['Cultured pasteurized milk', 'Salt']",[],"Overall, the ingredients used in this product seem safe for consumption. Cultured pasteurized milk is a good source of calcium and protein, while salt can enhance flavor without negative health effects when consumed moderately.",Low,Low,"Approved"
"Sugar, vegetable fats (non-hydrogenated palm kernel oil, non-hydrogenated palm oil), cocoa butter, skimmed milk powder, whey permeate powder (from milk), cocoa mass, whole milk powder, roasted almonds, roasted coconut flakes 5%, milk fat, emulsifiers (soy lecithin, E476), flavors, salt. Milk chocolate: contains cocoa products",[],[],Error: ,Unknown,Unknown,Unknown
"Organic tomato, acidity regulator (citric acid).","['Organic tomato']",[],"The product contains only one ingredient, organic tomatoes, which are generally safe for consumption. The acidity regulator citric acid is also considered harmless in small amounts.",Low,Low,"Approved"
"Pepper, water, salt, spices, acidulant (E330), antioxidant (E300), preservatives (E202, E211).","['Pepper', 'Water']",[],"Overall, the ingredients seem to be safe. However, individuals with certain medical conditions, such as kidney disease or those taking medication that can interact negatively with preservatives (E202 and E211), should exercise caution.",Moderate,Low,"Approved"
"Mechanically separated chicken, pork, water, dextrose, corn syrup, salt, flavorings, sodium phosphate, beef, paprika and paprika oleoresin, sodium erythorbate, sodium nitrite.","['Mechanically separated chicken', 'Pork']",[],"Overall, the ingredients seem safe for consumption, but some may have potential health concerns. Mechanically separated chicken and pork can be a source of harmful bacteria if not prepared properly. Dextrose and corn syrup are added sugars that should be consumed in moderation.",Moderate,Moderate,"Approved"
"Milkfat and nonfat milk, strawberry sauce (corn syrup, water, sugar, modified corn starch, citric acid, natural and artificial flavor, artificial color (red #40)), high fructose corn syrup, corn syrup, buttermilk, sugar, whey, mono- and diglycerides, guar gum, xanthan gum, polysorbate 80, artificial flavor, locust bean gum, carrageenan.","['Milkfat', 'Nonfat milk']",[],"Overall, the ingredients seem to be safe for consumption. However, high fructose corn syrup and artificial flavors are added sugars that can contribute to weight gain and other chronic diseases if consumed in excess.",Moderate,Low,"Approved"
"Potato flour, potato starch, sunflower and/or canola oil, seasoning (lactose, vinegar powder, sea salt, barley flour, citric acid, cider vinegar powder, natural flavor), rice flour, salt.","['Potato starch', 'Rice flour']",[],"Overall, the product seems to be safe for consumption as all of its ingredients are commonly used in food production and have been deemed generally harmless.",Low,Low,"Approved"
"Salt, sugar, spices, paprika, dehydrated onion, natural flavors, turmeric, modified food starch, dehydrated garlic, extractives of paprika, and less than 2% silicon dioxide added as a processing aid.","['Salt', 'Sugar', 'Spices']",[],"Overall, these ingredients appear to be safe for consumption in small amounts as part of a balanced diet. However, excessive intake of salt and sugar can lead to high blood pressure or diabetes.",Moderate,Low,"Approved"
"Pasteurized pure carbonated apple juice from U.S. grown fresh organic apples, filtered water (sufficient to reconstitute juice concentrate), pure concentrated organic grape juice. Natural sediment may occur, no sweeteners, preservatives.","['Pasteurized 100% pure carbonated apple juice', 'Filtered water', 'Pure concentrated organic grape juice']",[],"Overall, the ingredients in this product appear safe for consumption as they are natural and do not contain harmful preservatives or sweeteners. However, excessive intake of carbonated beverages can lead to bloating, gas, and other digestive issues.",Low,Low,"Approved"
"Wheat flour, barley flour, oil, fructose, egg powder, milk powder, rice flour, soya flour, corn flour, rye flour, bran, invert syrup, black seed, sesame, mulberry nectar, water, baking powder, lecithin (E322), ammonium bicarbonate (E503).","['Wheat flour', 'Barley flour', 'Oil', 'Fructose', 'Milk powder', 'Rice flour', 'Soya flour']",[],"Overall, the ingredients seem to be safe for consumption. However, some people may have allergies or intolerances to wheat and soy.",Low,Moderate,"Approved"
"Acacia gum, anise essential oil and powder, agave inulin, ascorbic acid, bulking agent: magnesium carbonate, cocoa butter (0.3%).","['Acacia gum', 'Agave inulin']",[],"Overall, the ingredients seem safe for consumption. However, high amounts of cocoa butter can cause allergic reactions in some people.",Low,Low,"Approved"
"Fresh cheese made from skimmed milk* (pasteurized skimmed milk*, lactic ferments), sugar*, blueberry puree* 6%. *From organic farming.","['Fresh cheese made from pasteurized skimmed milk', 'Blueberry puree']",[],"Overall, the ingredients seem safe for consumption. The use of pasteurized skimmed milk and blueberry puree is acceptable.",Low,Low,"Approved"
"Water, citric acid, sodium citrate, natural flavor, salt, monopotassium phosphate, modified food starch, sucralose, acesulfame potassium, glycerol ester of rosin, red 40, blue 1.","['Water', 'Sodium citrate']",[],"Overall, the ingredients seem to be safe for consumption. However, excessive intake of sucralose and acesulfame potassium may have negative health effects.",Moderate,Low,"Approved"
"Chicken fillets treated in brine (chicken fillet meat , water, wheat fibers, natural flavors, wheat proteins, antioxidant E331, salt), standard cooked turkey ham 13% (turkey meat 3% (France), water, wheat gluten, salt, natural flavors, aroma, wheat fibers, antioxidant E300, dextrose) - breadcrumbs (wheat flour, salt, yeast, spices), melted cheese (cheeses, water, modified starches, whey, skimmed milk powder, melting salts E331), water, wheat flour, sunflower oil.","['Chicken fillet meat', 'Water']",[],"The ingredients appear to be safe for consumption. However, the product may contain high levels of sodium due to added salt and other seasonings.",Moderate,Low,"Approved"
"Pasteurized sheep's milk and goat's milk, salt, lactic ferments, microbial rennet.","['Pasteurized sheep's milk', 'Goat's milk']",[],"The product contains pasteurized sheep and goat milk, which are safe to consume. The addition of salt is generally considered harmless in small amounts. However, individuals with a dairy allergy or intolerance should avoid this product.",Low,Moderate,"Approved"
"Water, OATS , sugar , rapeseed oil, minerals (calcium carbonate, calcium phosphates, potassium iodide), natural flavor, salt, vitamins (D2, riboflavin, B12).","['Water', 'Oats', 'Sugar', 'Rapeseed oil']",[],"Overall, the ingredients appear to be safe. However, individuals with certain health conditions or allergies (such as calcium carbonate allergy) should exercise caution when consuming this product.",Low,Low,"Approved"
"Sugar, glucose syrup, palm fat, acidulant citric acid, dextrin, maltodextrin, modified starch, flavors, colorants E163, E162, E171, E100, E132, E160a, E133, acidity regulator trisodium citrate, concentrates (sweet potato, radish), coating agent carnauba wax.","['Sugar', 'Glucose syrup']",[],"Overall, the ingredients in this product appear to be safe for consumption. However, excessive intake of sugar can lead to health issues such as obesity and type 2 diabetes.",Moderate,Low,"Approved"
"Pork meat, salt, acidity regulator: E325, spices.","['Pork meat', 'Salt']",[],"Overall, the product seems safe to consume as it contains only two simple and commonly used food additives. However, more information is needed about specific health concerns or allergies of the consumer.",Low,Low,"Approved"
"Rapeseed oil, aquafaba (water, chickpeas), water, mustard (water, spirit vinegar, mustard seeds, sugar, salt, spices, colorant: curcumin), sugar, spirit vinegar, salt, stabilizer: xanthan gum.","['Rapeseed oil', 'Aquafaba 10.9% (water, chickpeas)', 'Mustard (water, spirit vinegar, mustard seeds, sugar, salt, spices, colorant: curcumin)']",[],"Overall, the ingredients seem safe to consume. However, individuals with allergies or intolerances to any ingredient listed in 'safe_ingredients' should exercise caution.",Low,Moderate,"Approved"
"Pork ham (France), pork rind (France), brine (water, preservative: sodium nitrite, Guérande salt, lactose*, sugar*, pepper*, onions*, cloves*) - *from organic farming.","['Pork ham', 'Pork rind']",[],"Overall, the product appears to be safe for consumption. However, nitrite preservatives can potentially cause adverse reactions in some individuals and should therefore be consumed with caution.",Moderate,Low,"Approved"
"Milk, apples, wheat flour, pasteurized liquid eggs, sugar, modified starch, dried eggs, salt, rapeseed oil, raising agents: sodium carbonates, diphosphates; preservative: potassium sorbate, cinnamon (0.02%), antioxidant: ascorbic acid, acidity regulator: citric acid, flavoring.","['Milk', 'Apples']",[],"Overall, the ingredients seem to be safe for consumption. However, some people may have allergies or intolerances to certain ingredients like milk, eggs, and wheat flour.",Low,Moderate,"Approved"
"Beef, drinking water, rapeseed oil, iodized nitrite curing salt (salt, potassium iodate, preservative: sodium nitrite), fully hydrogenated rapeseed oil, dextrose, stabilizer: sodium citrates, acidulant: citric acid, natural flavor, spices (chili and jalapeño), antioxidants: ascorbic acid, sodium ascorbate, sugar, beechwood smoke, sheep casing.","['Drinking water', 'Fully hydrogenated rapeseed oil', 'Dextrose']",[],"Overall, the product appears to be safe for consumption. However, high levels of sodium can lead to hypertension and other health issues if consumed in excess.",Moderate,Low,"Approved"
"Wheat flour, salt, (E471-E481-E472E), baking powder, whey powder (milk), flavors. May contain eggs, nuts. Thawed product, do not refreeze.","['Wheat flour', 'Whey powder (milk)']",[],"The product contains several safe and commonly used food additives such as flour, whey powder, and flavors. However, the product may contain traces of eggs and nuts, which can be harmful to some people. Individuals with allergies or sensitivities should avoid consuming this product.",Low,Moderate,"Approved"
"Fish stock (salmon, water, carrots, celery, onions, rosemary, thyme), smoked salmon (salmon, sugar, salt, natural alderwood smoke), potatoes, flour (unbleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), canola oil, onion, carrots, celery, corn, clam base (cooked clams with clam juice and clam extract, salt, butter oil, hydrolyzed corn protein, maltodextrin, autolyzed yeast extract, sugar, onion powder, dehydrated potato flakes, natural flavor [torula yeast, gum arabic, citric acid]), seasoning salt (salt, sugar, spices [including paprika and turmeric], onion, cornstarch, garlic tricalcium phosphate, natural flavor, soy lecithin, extractive of paprika [color]), parsley, thyme, sea salt, garlic powder, paprika, cayenne pepper, dill.","['Fish stock', 'Potatoes']",[],"Overall, the ingredients seem safe to consume as they are commonly used in food preparation and do not contain any known harmful substances. However, consuming large amounts of salt or spices may cause adverse health effects.",Moderate,Low,"Approved"
"Wheat flour, milk, egg, sugar, butter, starch, hazelnut, pistachio, chocolate, walnut, lemon, baklava syrup. Allergen Warning: Contains gluten, lactose, egg, hazelnut, pistachio, chocolate, walnut.",[],"['Gluten', 'Lactose']","This product contains ingredients that may cause allergic reactions in sensitive individuals due to the presence of gluten, lactose, and nuts. Individuals with these food sensitivities or intolerances should avoid consuming this product.",Moderate,High,"Approved"
"Purified coconut oil.",[],"['Coconut oil']","The ingredient 'coconut oil' is potentially harmful as it may contain high levels of saturated fats, which can increase the risk of heart disease. It should be consumed in moderation.",Moderate,Low,"Approved"
"Aqua, Glycerin, Niacinamide, Dimethicone, Isohexadecane, Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Aqua', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Phenoxyethanol', 'Dimethicone']","Overall, the product is safe for use. However, some ingredients like Phenoxyethanol and Dimethicone may cause skin irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Water, Cyclopentasiloxane, Dimethicone, Glycerin, Butylene Glycol, Niacinamide, Alcohol Denat., Phenoxyethanol, Sodium Hyaluronate, PEG-10 Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexylglycerin, Adenosine, Panthenol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Cyclopentasiloxane', 'Alcohol Denat.', 'Phenoxyethanol']","This product is generally safe for use, but ingredients like Cyclopentasiloxane and Alcohol Denat. may cause dryness or irritation in some users.",Moderate,Moderate,"Approved"
"Aqua, Glycerin, Caprylic/Capric Triglyceride, Niacinamide, Butylene Glycol, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Dimethicone, Phenoxyethanol, Ethylhexylglycerin, Xanthan Gum, Carbomer, Sodium Hyaluronate, Adenosine, Tocopherol, Panthenol, Allantoin, Disodium EDTA","['Aqua', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Phenoxyethanol', 'Dimethicone']","The product is safe for most skin types, but Phenoxyethanol and Dimethicone may cause irritation in sensitive individuals.",Moderate,Low,"Approved"
"Water, Cyclohexasiloxane, Dimethicone, Glycerin, Butylene Glycol, Niacinamide, Alcohol Denat., Phenoxyethanol, Sodium Hyaluronate, PEG-10 Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexylglycerin, Adenosine, Panthenol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Cyclohexasiloxane', 'Alcohol Denat.', 'Phenoxyethanol']","This product is generally safe for use, but Cyclohexasiloxane and Alcohol Denat. may cause dryness or irritation in some users.",Moderate,Moderate,"Approved"
"Aqua, Glycerin, Niacinamide, Dimethicone, Alcohol Denat., Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Aqua', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Alcohol Denat.', 'Phenoxyethanol', 'Dimethicone']","The product is safe for most skin types, but Alcohol Denat. and Phenoxyethanol may cause irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Water, Glycerin, Niacinamide, Dimethicone, Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Phenoxyethanol', 'Dimethicone']","This product is generally safe for use, but Phenoxyethanol and Dimethicone may cause skin irritation in sensitive individuals.",Moderate,Low,"Approved"
"Water, Sorbitol, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Sodium Saccharin, Sodium Fluoride, Xylitol, Sodium Hydroxide, Carrageenan, Titanium Dioxide","['Water', 'Sorbitol', 'Xylitol']","['Sodium Lauryl Sulfate', 'Sodium Saccharin', 'Carrageenan']","This toothpaste is generally safe for oral use, but Sodium Lauryl Sulfate and Carrageenan may cause irritation in some individuals. Sodium Saccharin is an artificial sweetener that may have long-term health concerns.",Moderate,Low,"Approved"
"Water, Cyclopentasiloxane, Dimethicone, Glycerin, Butylene Glycol, Niacinamide, Alcohol Denat., Phenoxyethanol, Sodium Hyaluronate, PEG-10 Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexylglycerin, Adenosine, Panthenol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Cyclopentasiloxane', 'Alcohol Denat.', 'Phenoxyethanol']","This skincare product is generally safe for use, but Cyclopentasiloxane and Alcohol Denat. may cause dryness or irritation in some users.",Moderate,Moderate,"Approved"
"Organic Aloe Barbadensis Leaf Juice, Glycerin, Sodium Benzoate, Citric Acid, Potassium Sorbate, Xanthan Gum, Tocopherol","['Organic Aloe Barbadensis Leaf Juice', 'Glycerin', 'Tocopherol']","['Sodium Benzoate', 'Potassium Sorbate']","This product is safe for most skin types, but Sodium Benzoate and Potassium Sorbate are preservatives that may cause irritation in sensitive individuals.",Low,Low,"Approved"
"Water, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Glycerin, Alcohol Denat., Dicaprylyl Carbonate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Styrene/Acrylates Copolymer, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Titanium Dioxide, Sodium Chloride, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Tocopheryl Acetate']","['Ethylhexyl Methoxycinnamate', 'Alcohol Denat.', 'Phenoxyethanol']","This sunscreen is effective for UV protection, but some ingredients like Ethylhexyl Methoxycinnamate and Phenoxyethanol may cause skin irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Water, Glycerin, Niacinamide, Dimethicone, Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Phenoxyethanol', 'Dimethicone']","This moisturizer is safe for most skin types, but Phenoxyethanol and Dimethicone may cause irritation in sensitive individuals.",Moderate,Low,"Approved"
"Water, Cyclohexasiloxane, Dimethicone, Glycerin, Butylene Glycol, Niacinamide, Alcohol Denat., Phenoxyethanol, Sodium Hyaluronate, PEG-10 Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexylglycerin, Adenosine, Panthenol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Cyclohexasiloxane', 'Alcohol Denat.', 'Phenoxyethanol']","This product is generally safe for use, but Cyclohexasiloxane and Alcohol Denat. may cause dryness or irritation in some users.",Moderate,Moderate,"Approved"
"Water, Glycerin, Niacinamide, Dimethicone, Alcohol Denat., Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Alcohol Denat.', 'Phenoxyethanol', 'Dimethicone']","The product is safe for most skin types, but Alcohol Denat. and Phenoxyethanol may cause irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Glycerin, Citric Acid, Sodium Benzoate, Fragrance, Polyquaternium-7, Tetrasodium EDTA, DMDM Hydantoin, Blue 1","['Water', 'Cocamidopropyl Betaine', 'Glycerin']","['Sodium Laureth Sulfate', 'Fragrance', 'DMDM Hydantoin']","This shampoo is generally safe for use, but Sodium Laureth Sulfate and DMDM Hydantoin may cause scalp irritation in sensitive individuals. Fragrance can also trigger allergies.",Moderate,Moderate,"Approved"
"Organic Coconut Oil, Organic Shea Butter, Organic Beeswax, Organic Jojoba Oil, Organic Lavender Essential Oil","['Organic Coconut Oil', 'Organic Shea Butter', 'Organic Jojoba Oil']","['Organic Lavender Essential Oil']","This natural balm is safe for most skin types, but Lavender Essential Oil may cause irritation in individuals with sensitive skin.",Low,Low,"Approved"
"Water, Ethanol, Isopropyl Alcohol, Glycerin, Hydrogen Peroxide, Carbomer, Sodium Hydroxide, Fragrance","['Water', 'Glycerin']","['Ethanol', 'Isopropyl Alcohol', 'Hydrogen Peroxide', 'Fragrance']","This hand sanitizer is effective for killing germs, but Ethanol and Isopropyl Alcohol can dry out the skin. Hydrogen Peroxide and Fragrance may cause irritation.",Moderate,Moderate,"Approved"
"Water, Sodium C14-16 Olefin Sulfonate, Cocamide MEA, Sodium Chloride, Glycol Distearate, Sodium Lauroyl Sarcosinate, Cocamidopropyl Betaine, Fragrance, Citric Acid, Tetrasodium EDTA, DMDM Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone","['Water', 'Cocamidopropyl Betaine']","['Sodium C14-16 Olefin Sulfonate', 'Fragrance', 'DMDM Hydantoin', 'Methylchloroisothiazolinone', 'Methylisothiazolinone']","This body wash is generally safe, but some ingredients like Sodium C14-16 Olefin Sulfonate and preservatives (Methylchloroisothiazolinone, Methylisothiazolinone) may cause skin irritation.",High,High,"Approved"
"Water, Cyclopentasiloxane, Dimethicone, Glycerin, Butylene Glycol, Niacinamide, Alcohol Denat., Phenoxyethanol, Sodium Hyaluronate, PEG-10 Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexylglycerin, Adenosine, Panthenol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Cyclopentasiloxane', 'Alcohol Denat.', 'Phenoxyethanol']","This skincare product is generally safe for use, but Cyclopentasiloxane and Alcohol Denat. may cause dryness or irritation in some users.",Moderate,Moderate,"Approved"
"Water, Sorbitol, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Sodium Saccharin, Sodium Fluoride, Xylitol, Sodium Hydroxide, Carrageenan, Titanium Dioxide","['Water', 'Sorbitol', 'Xylitol']","['Sodium Lauryl Sulfate', 'Sodium Saccharin', 'Carrageenan']","This toothpaste is generally safe for oral use, but Sodium Lauryl Sulfate and Carrageenan may cause irritation in some individuals. Sodium Saccharin is an artificial sweetener that may have long-term health concerns.",Moderate,Low,"Approved"
"Water, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Glycerin, Alcohol Denat., Dicaprylyl Carbonate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Styrene/Acrylates Copolymer, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Titanium Dioxide, Sodium Chloride, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Tocopheryl Acetate']","['Ethylhexyl Methoxycinnamate', 'Alcohol Denat.', 'Phenoxyethanol']","This sunscreen is effective for UV protection, but some ingredients like Ethylhexyl Methoxycinnamate and Phenoxyethanol may cause skin irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Water, Glycerin, Niacinamide, Dimethicone, Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Phenoxyethanol', 'Dimethicone']","This moisturizer is safe for most skin types, but Phenoxyethanol and Dimethicone may cause irritation in sensitive individuals.",Moderate,Low,"Approved"
